Paired_ID	Meta_ID	Sample_type	Sample_type_QC	Experimental_batch	Year	type_year
3769347147-1	X962	Cord blood	Samples	2	16	Cord blood_16
9428003770-1	X963	Cord blood	Samples	2	16	Cord blood_16
7512377047-1	X964	Cord blood	Samples	2	16	Cord blood_16
1677875934-1	X965	Cord blood	Samples	1	16	Cord blood_16
2277594559-1	X966	Cord blood	Samples	1	16	Cord blood_16
1996007399-1	X967	Cord blood	Samples	1	16	Cord blood_16
7828355332-1	X968	Cord blood	Samples	1	16	Cord blood_16
5674698602-1	X969	Cord blood	Samples	2	16	Cord blood_16
3593021176-1	X97	Maternal blood	Samples	2	15	Maternal blood_15
9365309667-1	X970	Cord blood	Samples	1	16	Cord blood_16
8210896057-1	X971	Cord blood	Samples	1	16	Cord blood_16
8961878879-1	X972	Cord blood	Samples	2	16	Cord blood_16
2810532312-1	X973	Cord blood	Samples	1	16	Cord blood_16
4312197069-1	X974	Cord blood	Samples	2	16	Cord blood_16
2201599335-1	X975	Cord blood	Samples	1	16	Cord blood_16
4761226207-1	X976	Cord blood	Samples	1	16	Cord blood_16
3448772418-1	X977	Cord blood	Samples	2	16	Cord blood_16
4239527003-1	X978	Cord blood	Samples	1	16	Cord blood_16
2317490066-1	X979	Cord blood	Samples	1	16	Cord blood_16
7709758429-1	X98	Maternal blood	Samples	2	15	Maternal blood_15
1320505603-1	X980	Cord blood	Samples	1	16	Cord blood_16
7462022741-1	X981	Cord blood	Samples	1	16	Cord blood_16
1434124373-1	X99	Maternal blood	Samples	2	15	Maternal blood_15
8541505936-1	X994	Cord blood	Samples	1	17	Cord blood_17
9061300530-1	X995	Cord blood	Samples	1	17	Cord blood_17
9682866809-1	X996	Cord blood	Samples	1	17	Cord blood_17
7966809136-1	X997	Cord blood	Samples	2	17	Cord blood_17
5250510105-1	X998	Cord blood	Samples	2	17	Cord blood_17
3961583019-1	X999	Cord blood	Samples	1	17	Cord blood_17
QC01	QC01	QC	QC	1	QC	QC_QC
QC02	QC02	QC	QC	1	QC	QC_QC
QC03	QC03	QC	QC	1	QC	QC_QC
QC04	QC04	QC	QC	1	QC	QC_QC
QC05	QC05	QC	QC	1	QC	QC_QC
QC06	QC06	QC	QC	1	QC	QC_QC
QC07	QC07	QC	QC	1	QC	QC_QC
QC08	QC08	QC	QC	1	QC	QC_QC
QC09	QC09	QC	QC	1	QC	QC_QC
QC10	QC10	QC	QC	1	QC	QC_QC
QC100	QC100	QC	QC	2	QC	QC_QC
QC101	QC101	QC	QC	2	QC	QC_QC
QC102	QC102	QC	QC	2	QC	QC_QC
QC103_1	QC103_1	QC	QC	2	QC	QC_QC
QC103_2	QC103_2	QC	QC	2	QC	QC_QC
QC103_3	QC103_3	QC	QC	2	QC	QC_QC
QC103_4	QC103_4	QC	QC	2	QC	QC_QC
QC103_5	QC103_5	QC	QC	2	QC	QC_QC
QC103_6	QC103_6	QC	QC	2	QC	QC_QC
QC11	QC11	QC	QC	1	QC	QC_QC
QC12	QC12	QC	QC	1	QC	QC_QC
QC13	QC13	QC	QC	1	QC	QC_QC
QC14	QC14	QC	QC	1	QC	QC_QC
QC15	QC15	QC	QC	1	QC	QC_QC
QC16	QC16	QC	QC	1	QC	QC_QC
QC17	QC17	QC	QC	1	QC	QC_QC
QC18	QC18	QC	QC	1	QC	QC_QC
QC19	QC19	QC	QC	1	QC	QC_QC
QC20	QC20	QC	QC	1	QC	QC_QC
QC21	QC21	QC	QC	1	QC	QC_QC
QC22	QC22	QC	QC	1	QC	QC_QC
QC23	QC23	QC	QC	1	QC	QC_QC
QC24	QC24	QC	QC	1	QC	QC_QC
QC25	QC25	QC	QC	1	QC	QC_QC
QC26	QC26	QC	QC	1	QC	QC_QC
QC27	QC27	QC	QC	1	QC	QC_QC
QC28	QC28	QC	QC	1	QC	QC_QC
QC29	QC29	QC	QC	1	QC	QC_QC
QC30	QC30	QC	QC	1	QC	QC_QC
QC31	QC31	QC	QC	1	QC	QC_QC
QC32	QC32	QC	QC	1	QC	QC_QC
QC33	QC33	QC	QC	1	QC	QC_QC
QC34	QC34	QC	QC	1	QC	QC_QC
QC35	QC35	QC	QC	1	QC	QC_QC
QC36	QC36	QC	QC	1	QC	QC_QC
QC37	QC37	QC	QC	1	QC	QC_QC
QC38	QC38	QC	QC	1	QC	QC_QC
QC39	QC39	QC	QC	1	QC	QC_QC
QC40	QC40	QC	QC	1	QC	QC_QC
QC41	QC41	QC	QC	1	QC	QC_QC
QC42	QC42	QC	QC	1	QC	QC_QC
QC43	QC43	QC	QC	1	QC	QC_QC
QC44	QC44	QC	QC	1	QC	QC_QC
QC45	QC45	QC	QC	1	QC	QC_QC
QC46	QC46	QC	QC	1	QC	QC_QC
QC47	QC47	QC	QC	1	QC	QC_QC
QC48	QC48	QC	QC	1	QC	QC_QC
QC49	QC49	QC	QC	1	QC	QC_QC
QC50	QC50	QC	QC	1	QC	QC_QC
QC51_1	QC51_1	QC	QC	1	QC	QC_QC
QC51_2	QC51_2	QC	QC	1	QC	QC_QC
QC51_3	QC51_3	QC	QC	1	QC	QC_QC
QC51_4	QC51_4	QC	QC	1	QC	QC_QC
QC51_5	QC51_5	QC	QC	1	QC	QC_QC
QC51_6	QC51_6	QC	QC	1	QC	QC_QC
QC52_1	QC52_1	QC	QC	2	QC	QC_QC
QC52_2	QC52_2	QC	QC	2	QC	QC_QC
QC52_3	QC52_3	QC	QC	2	QC	QC_QC
QC52_4	QC52_4	QC	QC	2	QC	QC_QC
QC52_5	QC52_5	QC	QC	2	QC	QC_QC
QC52_6	QC52_6	QC	QC	2	QC	QC_QC
QC53	QC53	QC	QC	2	QC	QC_QC
QC54	QC54	QC	QC	2	QC	QC_QC
QC55	QC55	QC	QC	2	QC	QC_QC
QC56	QC56	QC	QC	2	QC	QC_QC
QC57	QC57	QC	QC	2	QC	QC_QC
QC58	QC58	QC	QC	2	QC	QC_QC
